chip_Id	Standard_Deviation	Sample_Type_Long	Probe	ds_id	Multi_Mapping	Sample_Type	Mapped_gene	Disease_State	Expression_Value	LineGraphGroup	Replicate_ID	Day
1699538167_B	0.221140922957	hONS	ILMN_1690105	2000	no	hONS	STAT1	control	10.8990674709	null	hONS_control_donor_8	null
1699538167_C	0.168571367779	hONS	ILMN_1690105	2000	no	hONS	STAT1	control	10.2590138791	null	hONS_control_donor_9	null
1699538167_D	0.23195023386	hONS	ILMN_1690105	2000	no	hONS	STAT1	control	10.0631195522	null	hONS_control_donor_10	null
1699538167_E	0.0657321880028	hONS	ILMN_1690105	2000	no	hONS	STAT1	control	9.54643247009	null	hONS_control_donor_11	null
1699538167_F	0.113847317014	hONS	ILMN_1690105	2000	no	hONS	STAT1	control	9.67676416001	null	hONS_control_donor_12	null
1699538167_G	0.195604374689	hONS	ILMN_1690105	2000	no	hONS	STAT1	control	11.2832108936	null	hONS_control_donor_13	null
1699538155_A	0.20372760746	hONS	ILMN_1690105	2000	no	hONS	STAT1	control	10.0119219208	null	hONS_control_donor_1	null
1699538155_B	0.423483161967	hONS	ILMN_1690105	2000	no	hONS	STAT1	control	10.4182079004	null	hONS_control_donor_2	null
1699538155_E	0.675520447367	hONS	ILMN_1690105	2000	no	hONS	STAT1	control	10.9050671204	null	hONS_control_donor_5	null
1787466064_A	0.187323480643	hONS	ILMN_1690105	2000	no	hONS	STAT1	control	9.07928152783	null	hONS_control_donor_29	null
1787466029_C	0.0132360401464	hONS	ILMN_1690105	2000	no	hONS	STAT1	control	10.8479069148	null	hONS_control_donor_27	null
1699538155_D	0.498473204833	hONS	ILMN_1690105	2000	no	hONS	STAT1	control	12.6015583233	null	hONS_control_donor_4	null
1787466064_F	0.0747799420649	hONS	ILMN_1690105	2000	no	hONS	STAT1	Parkinson's disease	9.9652217172	null	hONS_PD_donor_30	null
1699538160_C	0.506431561484	hONS	ILMN_1690105	2000	no	hONS	STAT1	Parkinson's disease	11.3499870188	null	hONS_PD_donor_6	null
1787466064_H	0.156954692263	hONS	ILMN_1690105	2000	no	hONS	STAT1	Parkinson's disease	10.335703174	null	hONS_PD_donor_32	null
1699538160_E	0.450478017827	hONS	ILMN_1690105	2000	no	hONS	STAT1	Parkinson's disease	10.4614275005	null	hONS_PD_donor_8	null
1787466065_B	0.154560834406	hONS	ILMN_1690105	2000	no	hONS	STAT1	Parkinson's disease	10.3301042621	null	hONS_PD_donor_34	null
1699538160_G	0.358814784455	hONS	ILMN_1690105	2000	no	hONS	STAT1	Parkinson's disease	10.1731868793	null	hONS_PD_donor_10	null
1699538160_H	0.0826797290543	hONS	ILMN_1690105	2000	no	hONS	STAT1	Parkinson's disease	11.5439803171	null	hONS_PD_donor_11	null
1787466018_A	0.0175213628669	hONS	ILMN_1690105	2000	no	hONS	STAT1	Parkinson's disease	9.87788832342	null	hONS_PD_donor_12	null
1787466018_B	0.818006746361	hONS	ILMN_1690105	2000	no	hONS	STAT1	Parkinson's disease	10.3162300492	null	hONS_PD_donor_13	null
1787466018_C	0.13475228626	hONS	ILMN_1690105	2000	no	hONS	STAT1	Parkinson's disease	11.1618878117	null	hONS_PD_donor_14	null
1787466018_D	0.253598175967	hONS	ILMN_1690105	2000	no	hONS	STAT1	Parkinson's disease	10.4026843968	null	hONS_PD_donor_15	null
1787466018_E	0.12672330478	hONS	ILMN_1690105	2000	no	hONS	STAT1	Parkinson's disease	11.2078682767	null	hONS_PD_donor_16	null
1787466018_F	0.0743997836599	hONS	ILMN_1690105	2000	no	hONS	STAT1	Parkinson's disease	10.3339553937	null	hONS_PD_donor_17	null
1787466029_E	0.0913708681796	hONS	ILMN_1690105	2000	no	hONS	STAT1	Parkinson's disease	10.2518423162	null	hONS_PD_donor_22	null
1787466029_G	0	hONS	ILMN_1690105	2000	no	hONS	STAT1	Parkinson's disease	10.1862201244	null	hONS_PD_donor_24	null
1787466064_C	0.187087615945	hONS	ILMN_1690105	2000	no	hONS	STAT1	Parkinson's disease	10.5051016058	null	hONS_PD_donor_27	null
1699538155_G	0.395408541664	hONS	ILMN_1690105	2000	no	hONS	STAT1	Parkinson's disease	9.54989144153	null	hONS_PD_donor_2	null
1699538155_H	0.465379195959	hONS	ILMN_1690105	2000	no	hONS	STAT1	Parkinson's disease	10.5752033393	null	hONS_PD_donor_3	null
1787466064_E	0.219535420448	hONS	ILMN_1690105	2000	no	hONS	STAT1	Parkinson's disease	10.1346798054	null	hONS_PD_donor_29	null
1787466028_G	0.145352390875	hONS	ILMN_1690105	2000	no	hONS	STAT1	schizophrenia	10.9259825357	null	hONS_SZ_donor_10	null
1787466018_H	0.112553596546	hONS	ILMN_1690105	2000	no	hONS	STAT1	schizophrenia	11.1565382163	null	hONS_SZ_donor_9	null
1699538158_A	0.14602992207	hONS	ILMN_1690105	2000	no	hONS	STAT1	schizophrenia	9.75406517742	null	hONS_SZ_donor_1	null
1699538158_B	0.241461666685	hONS	ILMN_1690105	2000	no	hONS	STAT1	schizophrenia	9.72075672345	null	hONS_SZ_donor_2	null
1699538158_C	0.0629937510871	hONS	ILMN_1690105	2000	no	hONS	STAT1	schizophrenia	10.6819358363	null	hONS_SZ_donor_3	null
1787466030_C	0.460026453049	hONS	ILMN_1690105	2000	no	hONS	STAT1	schizophrenia	10.716120746	null	hONS_SZ_donor_15	null
1699538158_E	0.141998839768	hONS	ILMN_1690105	2000	no	hONS	STAT1	schizophrenia	10.2749394689	null	hONS_SZ_donor_5	null
1699538158_F	0.100015761214	hONS	ILMN_1690105	2000	no	hONS	STAT1	schizophrenia	11.0555273019	null	hONS_SZ_donor_6	null
1699538158_G	0.0309068864378	hONS	ILMN_1690105	2000	no	hONS	STAT1	schizophrenia	10.0228789856	null	hONS_SZ_donor_7	null
1979409020_C	0.134857595912	Dermal Fibroblast	ILMN_1691364	2000	no	Dermal Fibroblast	STAT1	control	12.1501465523	null	fibroblast_control_donor_1	null
1979409021_F	0.0455377755756	Dermal Fibroblast	ILMN_1691364	2000	no	Dermal Fibroblast	STAT1	control	12.1316666687	null	fibroblast_control_donor_11	null
1979409021_G	0.0624110119611	Dermal Fibroblast	ILMN_1691364	2000	no	Dermal Fibroblast	STAT1	control	12.5047477489	null	fibroblast_control_donor_12	null
1979409021_B	0.136419824457	Dermal Fibroblast	ILMN_1691364	2000	no	Dermal Fibroblast	STAT1	control	13.7505431972	null	fibroblast_control_donor_7	null
1979409020_F	0.389941025543	Dermal Fibroblast	ILMN_1691364	2000	no	Dermal Fibroblast	STAT1	control	12.3847269875	null	fibroblast_control_donor_4	null
1979409020_G	0.603152452061	Dermal Fibroblast	ILMN_1691364	2000	no	Dermal Fibroblast	STAT1	control	12.3636163261	null	fibroblast_control_donor_5	null
1979409020_H	0.06425573654	Dermal Fibroblast	ILMN_1691364	2000	no	Dermal Fibroblast	STAT1	control	12.5240098058	null	fibroblast_control_donor_6	null
1979409021_C	0.234944474741	Dermal Fibroblast	ILMN_1691364	2000	no	Dermal Fibroblast	STAT1	control	12.6210991954	null	fibroblast_control_donor_8	null
1979409021_D	0.0583604716218	Dermal Fibroblast	ILMN_1691364	2000	no	Dermal Fibroblast	STAT1	control	12.2733951894	null	fibroblast_control_donor_9	null
1979409009_A	0.494806362754	Dermal Fibroblast	ILMN_1691364	2000	no	Dermal Fibroblast	STAT1	schizophrenia	12.3580189518	null	fibroblast_SZ_donor_1	null
1979409009_B	0.736105461246	Dermal Fibroblast	ILMN_1691364	2000	no	Dermal Fibroblast	STAT1	schizophrenia	12.4081293191	null	fibroblast_SZ_donor_2	null
