"Probe and Sample ID","Expression Value","Standard Deviation"
"ILMN_1705546 - fibroblast_control_donor_8","3.2278187899","0.0658589554383"
"ILMN_1705546 - fibroblast_control_donor_9","3.47424727794","0.104070093389"
"ILMN_1705546 - hONS_PD_donor_10","3.57820674368","0.128592202506"
"ILMN_1705546 - hONS_PD_donor_11","3.68829452782","0.347083690043"
"ILMN_1705546 - hONS_PD_donor_12","3.26660458227","0.202708659358"
"ILMN_1705546 - hONS_PD_donor_13","3.54801287001","0.0813691727411"
"ILMN_1705546 - hONS_PD_donor_14","3.20827837074","0.129604332296"
"ILMN_1705546 - hONS_PD_donor_15","3.63146462139","0.344008408682"
"ILMN_1705546 - hONS_PD_donor_16","3.36665438172","0.0377847037004"
"ILMN_1705546 - hONS_PD_donor_17","3.57717767424","0.349690618193"
"ILMN_1705546 - hONS_PD_donor_2","3.13646160144","0.0698596039274"
"ILMN_1705546 - hONS_PD_donor_22","2.98115852744","0.256507846154"
"ILMN_1705546 - hONS_PD_donor_24","3.21774985133","0.0"
"ILMN_1705546 - hONS_PD_donor_27","3.58836203981","0.110551212184"
"ILMN_1705546 - hONS_PD_donor_29","3.42633151077","0.109947950036"
"ILMN_1705546 - hONS_PD_donor_3","3.36519510702","0.253303612153"
"ILMN_1705546 - hONS_PD_donor_30","3.57849724006","0.234311507047"
"ILMN_1705546 - hONS_PD_donor_32","3.39765701377","0.111998537353"
"ILMN_1705546 - hONS_PD_donor_34","3.86041903948","0.0651124347594"
"ILMN_1705546 - hONS_PD_donor_6","3.73546042568","0.812363351057"
"ILMN_1705546 - hONS_PD_donor_8","3.93641108414","0.483239861101"
"ILMN_1705546 - hONS_SZ_donor_1","3.27665697625","0.0793095955185"
"ILMN_1705546 - hONS_SZ_donor_10","3.25783373795","0.281915695287"
"ILMN_1705546 - hONS_SZ_donor_15","3.61137890506","0.0592469706855"
"ILMN_1705546 - hONS_SZ_donor_2","3.24163017059","0.126862906473"
"ILMN_1705546 - hONS_SZ_donor_3","3.31103407071","0.0808592345347"
"ILMN_1705546 - hONS_SZ_donor_5","3.25943345591","0.280452889564"
"ILMN_1705546 - hONS_SZ_donor_6","3.19144314986","0.0248897790314"
"ILMN_1705546 - hONS_SZ_donor_7","3.53317446434","0.193316422098"
"ILMN_1705546 - hONS_SZ_donor_9","3.65710928935","0.0800449552139"
"ILMN_1705546 - hONS_control_donor_1","3.60155605162","0.290294111609"
"ILMN_1705546 - hONS_control_donor_10","4.00012511724","0.336033614599"
"ILMN_1705546 - hONS_control_donor_11","3.47128029404","0.379416980363"
"ILMN_1705546 - hONS_control_donor_12","3.58071545506","0.181345789495"
"ILMN_1705546 - hONS_control_donor_13","3.31785671914","0.129604480323"
"ILMN_1705546 - hONS_control_donor_15","3.73499524801","0.0948455281842"
"ILMN_1705546 - hONS_control_donor_2","3.33904965644","0.0544676863566"
"ILMN_1705546 - hONS_control_donor_27","3.2044158005","0.264118781315"
"ILMN_1705546 - hONS_control_donor_29","3.58672740685","0.123535135283"
"ILMN_1705546 - hONS_control_donor_4","3.38386365924","0.603388911709"
"ILMN_1705546 - hONS_control_donor_5","3.41887307601","0.165293856335"
"ILMN_1705546 - hONS_control_donor_7","3.86784503296","0.280657321339"
"ILMN_1705546 - hONS_control_donor_8","3.45297465508","0.4372124422"
"ILMN_1705546 - hONS_control_donor_9","3.47439103326","0.0567786862395"
